Subject,Start Date,Start Time,End Date,End Time
отъезд автобусов от м. Тимирязевская в 10 ч.,29-07-2018,09:00:00,29-07-2018,10:00:00
обед,29-07-2018,14:00:00,29-07-2018,15:00:00
квест по знакомству со Школой,29-07-2018,17:00:00,29-07-2018,19:00:00
ужин,29-07-2018,19:00:00,29-07-2018,20:00:00
открытие 4-ого цикла Школы,29-07-2018,20:00:00,29-07-2018,21:30:00
завтрак,30-07-2018,09:00:00,30-07-2018,10:00:00
"Г. Мороз --- Правила, обустройство и начало",30-07-2018,10:00:00,30-07-2018,11:30:00
Г. Мороз --- Введение в акустику,30-07-2018,12:00:00,30-07-2018,13:30:00
обед,30-07-2018,14:00:00,30-07-2018,15:00:00
Г. Мороз --- Praat основы и скрипты,30-07-2018,15:00:00,30-07-2018,16:30:00
Г. Мороз --- ELAN,30-07-2018,17:00:00,30-07-2018,19:00:00
ужин,30-07-2018,19:00:00,30-07-2018,20:00:00
завтрак,31-07-2018,09:00:00,31-07-2018,10:00:00
В. Кускова --- сетевой анализ,31-07-2018,10:00:00,31-07-2018,11:30:00
В. Кускова --- сетевой анализ,31-07-2018,12:00:00,31-07-2018,13:30:00
обед,31-07-2018,14:00:00,31-07-2018,15:00:00
Г. Мороз --- лингвистическая картография,31-07-2018,15:00:00,31-07-2018,16:30:00
готовим ужин,31-07-2018,17:00:00,31-07-2018,19:00:00
ужин,31-07-2018,19:00:00,31-07-2018,20:00:00
завтрак,01-08-2018,09:00:00,01-08-2018,10:00:00
С. Ершова --- чатботы,01-08-2018,10:00:00,01-08-2018,11:30:00
С. Ершова --- чатботы,01-08-2018,12:00:00,01-08-2018,13:30:00
обед,01-08-2018,14:00:00,01-08-2018,15:00:00
С. Ершова --- чатботы,01-08-2018,15:00:00,01-08-2018,16:30:00
ужин,01-08-2018,19:00:00,01-08-2018,20:00:00
Г. Мороз --- лингвистическая картография,01-08-2018,20:00:00,01-08-2018,21:30:00
завтрак,02-08-2018,09:00:00,02-08-2018,10:00:00
Д. Скоринкин --- сетевой анализ,02-08-2018,10:00:00,02-08-2018,11:30:00
Д. Скоринкин --- сетевой анализ,02-08-2018,12:00:00,02-08-2018,13:30:00
обед,02-08-2018,14:00:00,02-08-2018,15:00:00
Д. Скоринкин --- сетевой анализ,02-08-2018,15:00:00,02-08-2018,16:30:00
ужин,02-08-2018,19:00:00,02-08-2018,20:00:00
Н. Мельник --- Word embedding,02-08-2018,20:00:00,02-08-2018,21:30:00
завтрак,03-08-2018,09:00:00,03-08-2018,10:00:00
А. Мартынова --- ELAN → корпус,03-08-2018,10:00:00,03-08-2018,11:30:00
А. Мартынова --- распознавание звука,03-08-2018,12:00:00,03-08-2018,13:30:00
обед,03-08-2018,14:00:00,03-08-2018,15:00:00
А. Мартынова --- распознавание звука,03-08-2018,15:00:00,03-08-2018,16:30:00
ужин,03-08-2018,19:00:00,03-08-2018,20:00:00
Н. Мельник --- Марковские модели,03-08-2018,20:00:00,03-08-2018,21:30:00
завтрак,04-08-2018,09:00:00,04-08-2018,10:00:00
Ж. Мещерякова --- тематическое моделирование,04-08-2018,10:00:00,04-08-2018,11:30:00
Ж. Мещерякова --- тематическое моделирование,04-08-2018,12:00:00,04-08-2018,13:30:00
обед,04-08-2018,14:00:00,04-08-2018,15:00:00
Ж. Мещерякова --- тематическое моделирование,04-08-2018,15:00:00,04-08-2018,16:30:00
ужин,04-08-2018,19:00:00,04-08-2018,20:00:00
готовим завтрак,05-08-2018,07:00:00,05-08-2018,09:00:00
завтрак,05-08-2018,09:00:00,05-08-2018,10:00:00
обед,05-08-2018,14:00:00,05-08-2018,15:00:00
ужин,05-08-2018,19:00:00,05-08-2018,20:00:00
